annotation_id,participant_id,video_id,start_timestamp,stop_timestamp,start_sample,stop_sample,class
P01_01_0,P01,P01_01,00:00:02.466,00:00:05.315,59184,127560,plastic-only-collision
P01_01_5,P01,P01_01,00:00:16.924,00:00:17.549,406176,421176,paper-only-collision
P01_01_6,P01,P01_01,00:00:22.002,00:00:22.382,528048,537168,plastic-only-collision
P01_01_7,P01,P01_01,00:00:24.836,00:00:27.002,596064,648048,plastic-only-collision
P01_01_9,P01,P01_01,00:00:27.981,00:00:28.641,671544,687384,plastic-only-collision
P01_01_13,P01,P01_01,00:00:37.673,00:00:38.067,904152,913608,paper-only-collision
P01_01_19,P01,P01_01,00:00:55.008,00:00:56.008,1320192,1344192,metal-only-collision
P01_01_20,P01,P01_01,00:00:58.008,00:00:59.008,1392192,1416192,metal-only-collision
P01_01_21,P01,P01_01,00:01:01.258,00:01:01.570,1470192,1477680,metal-only-collision
P01_01_26,P01,P01_01,00:01:34.445,00:01:35.445,2266680,2290680,metal-only-collision
P01_01_27,P01,P01_01,00:01:36.029,00:01:39.929,2304696,2398296,metal-only-collision
P01_01_30,P01,P01_01,00:01:46.070,00:01:47.550,2545680,2581200,metal-plastic-collision
P01_01_32,P01,P01_01,00:01:50.079,00:01:51.459,2641896,2675016,metal-only-collision
P01_01_34,P01,P01_01,00:02:03.380,00:02:04.160,2961120,2979840,metal-only-collision
P01_01_35,P01,P01_01,00:02:05.057,00:02:05.749,3001368,3017976,metal-only-collision
P01_01_41,P01,P01_01,00:02:46.644,00:02:47.207,3999456,4012968,metal-plastic-collision
P01_01_50,P01,P01_01,00:03:39.102,00:03:40.102,5258448,5282448,plastic-only-collision
P01_01_58,P01,P01_01,00:04:09.040,00:04:12.135,5976960,6051240,metal-only-collision
P01_01_60,P01,P01_01,00:04:15.846,00:04:18.388,6140304,6201311,metal-plastic-collision
P01_01_61,P01,P01_01,00:04:21.159,00:04:24.263,6267816,6342311,plastic-only-collision
P01_01_63,P01,P01_01,00:04:30.617,00:04:31.617,6494808,6518808,metal-only-collision
P01_01_64,P01,P01_01,00:04:32.492,00:04:36.367,6539808,6632808,metal-plastic-collision
P01_01_65,P01,P01_01,00:04:37.363,00:04:38.668,6656712,6688032,metal-only-collision
P01_01_66,P01,P01_01,00:04:40.450,00:04:42.325,6730800,6775800,plastic-only-collision
P01_01_68,P01,P01_01,00:04:45.909,00:04:47.472,6861816,6899327,metal-plastic-collision
P01_01_80,P01,P01_01,00:05:58.284,00:05:58.534,8598816,8604816,paper-only-collision
P01_01_81,P01,P01_01,00:06:02.138,00:06:02.429,8691312,8698296,plastic-paper-collision
P01_01_83,P01,P01_01,00:06:17.280,00:06:18.051,9054720,9073224,metal-plastic-collision
P01_01_85,P01,P01_01,00:06:20.614,00:06:21.801,9134736,9163224,plastic-only-collision
P01_01_87,P01,P01_01,00:06:28.965,00:06:29.718,9335160,9353232,plastic-only-collision
P01_01_88,P01,P01_01,00:06:31.093,00:06:31.968,9386232,9407232,metal-only-collision
P01_01_95,P01,P01_01,00:07:07.843,00:07:08.239,10268232,10277736,metal-only-collision
P01_01_98,P01,P01_01,00:07:23.091,00:07:23.651,10634184,10647624,metal-only-collision
P01_01_99,P01,P01_01,00:07:25.787,00:07:26.907,10698888,10725768,metal-plastic-collision
P01_01_101,P01,P01_01,00:07:44.440,00:07:45.884,11146560,11181216,metal-wood-collision
P01_01_102,P01,P01_01,00:07:56.947,00:07:58.051,11446728,11473224,metal-wood-collision
P01_01_105,P01,P01_01,00:08:12.722,00:08:13.402,11825328,11841648,plastic-only-collision
P01_01_106,P01,P01_01,00:08:14.681,00:08:15.181,11872344,11884344,plastic-only-collision
P01_01_108,P01,P01_01,00:08:27.469,00:08:28.584,12179256,12206016,ceramic-wood-collision
P01_01_109,P01,P01_01,00:08:30.717,00:08:31.477,12257208,12275448,metal-only-collision
P01_01_112,P01,P01_01,00:08:55.010,00:08:55.406,12840240,12849743,metal-only-collision
P01_01_115,P01,P01_01,00:09:07.760,00:09:08.760,13146240,13170240,plastic-only-collision
P01_01_117,P01,P01_01,00:09:18.201,00:09:18.719,13396824,13409256,metal-wood-collision
P01_01_118,P01,P01_01,00:09:23.364,00:09:24.364,13520736,13544736,metal-only-collision
P01_01_120,P01,P01_01,00:09:28.239,00:09:29.239,13637736,13661736,metal-only-collision
P01_01_121,P01,P01_01,00:09:30.052,00:09:32.652,13681248,13743648,metal-only-collision
P01_01_131,P01,P01_01,00:10:39.805,00:10:40.179,15355319,15364296,metal-only-collision
P01_01_132,P01,P01_01,00:10:50.222,00:10:50.622,15605328,15614927,metal-only-collision
P01_01_133,P01,P01_01,00:10:59.585,00:11:01.295,15830040,15871079,metal-only-collision
P01_01_134,P01,P01_01,00:11:04.521,00:11:06.403,15948503,15993672,metal-only-collision
P01_01_136,P01,P01_01,00:11:17.224,00:11:17.743,16253376,16265832,metal-only-collision
P01_01_145,P01,P01_01,00:12:06.335,00:12:06.756,17432040,17442144,metal-wood-collision
P01_01_146,P01,P01_01,00:12:07.553,00:12:07.960,17461272,17471040,metal-plastic-collision
P01_01_148,P01,P01_01,00:12:33.449,00:12:37.238,18082776,18173712,metal-only-collision
P01_01_149,P01,P01_01,00:12:44.469,00:12:46.969,18347256,18407256,metal-only-collision
P01_01_151,P01,P01_01,00:12:49.157,00:12:49.719,18459768,18473256,plastic-only-collision
P01_01_152,P01,P01_01,00:13:08.040,00:13:08.388,18912960,18921312,metal-wood-collision
P01_01_154,P01,P01_01,00:13:19.636,00:13:20.024,19191264,19200576,metal-only-collision
P01_01_155,P01,P01_01,00:13:21.115,00:13:21.432,19226760,19234368,metal-only-collision
P01_01_157,P01,P01_01,00:13:40.285,00:13:40.996,19686840,19703904,metal-wood-collision
P01_01_159,P01,P01_01,00:14:06.803,00:14:07.803,20323272,20347272,metal-plastic-collision
P01_01_162,P01,P01_01,00:14:27.459,00:14:27.916,20819016,20829984,plastic-only-collision
P01_01_167,P01,P01_01,00:15:03.865,00:15:04.854,21692760,21716496,metal-only-collision
P01_01_170,P01,P01_01,00:15:12.249,00:15:12.999,21893976,21911976,metal-only-collision
P01_01_173,P01,P01_01,00:15:17.749,00:15:21.145,22025976,22107480,plastic-only-collision
P01_01_175,P01,P01_01,00:15:28.094,00:15:28.631,22274256,22287144,metal-only-collision
P01_01_183,P01,P01_01,00:16:29.953,00:16:34.483,23758872,23867592,metal-only-collision
P01_01_185,P01,P01_01,00:16:37.176,00:16:48.974,23932224,24215376,metal-only-collision
P01_01_186,P01,P01_01,00:16:54.599,00:16:54.974,24350376,24359376,metal-plastic-collision
P01_01_190,P01,P01_01,00:17:13.994,00:17:14.494,24815855,24827855,metal-only-collision
P01_01_193,P01,P01_01,00:17:35.203,00:17:36.349,25324872,25352376,metal-only-collision
P01_01_195,P01,P01_01,00:17:55.765,00:18:05.161,25818360,26043864,plastic-only-collision
P01_01_198,P01,P01_01,00:18:50.911,00:18:51.697,27141864,27160727,metal-wood-collision
P01_01_204,P01,P01_01,00:19:22.984,00:19:23.257,27911616,27918168,metal-only-collision
P01_01_209,P01,P01_01,00:20:24.185,00:20:25.289,29380440,29406936,metal-only-collision
P01_01_212,P01,P01_01,00:20:37.069,00:20:39.144,29689656,29739456,metal-only-collision
P01_01_213,P01,P01_01,00:20:53.019,00:20:54.373,30072456,30104952,metal-only-collision
P01_01_219,P01,P01_01,00:21:44.747,00:21:46.607,31313928,31358568,metal-only-collision
P01_01_222,P01,P01_01,00:22:51.744,00:22:52.527,32921855,32940648,metal-only-collision
P01_01_224,P01,P01_01,00:23:33.167,00:23:34.167,33916008,33940008,metal-only-collision
P01_01_225,P01,P01_01,00:23:34.853,00:23:44.121,33956472,34178904,metal-only-collision
P01_01_227,P01,P01_01,00:23:46.855,00:23:47.539,34244520,34260936,metal-ceramic-collision
P01_01_229,P01,P01_01,00:24:03.396,00:24:04.998,34641504,34679952,metal-glass-collision
P01_01_231,P01,P01_01,00:24:58.060,00:24:58.831,35953440,35971944,metal-only-collision
P01_01_232,P01,P01_01,00:25:01.852,00:25:02.456,36044448,36058944,metal-only-collision
P01_01_233,P01,P01_01,00:25:05.644,00:25:06.306,36135456,36151344,metal-only-collision
P01_01_234,P01,P01_01,00:25:18.206,00:25:18.685,36436944,36448440,metal-only-collision
P01_01_235,P01,P01_01,00:25:47.313,00:25:49.894,37135512,37197456,metal-only-collision
P01_01_237,P01,P01_01,00:26:01.164,00:26:02.977,37467936,37511448,plastic-only-collision
P01_01_238,P01,P01_01,00:26:04.623,00:26:05.123,37550952,37562952,plastic-only-collision
P01_01_239,P01,P01_01,00:26:06.810,00:26:07.206,37603440,37612944,metal-wood-collision
P01_01_240,P01,P01_01,00:26:11.039,00:26:11.498,37704936,37715952,metal-wood-collision
P01_01_244,P01,P01_01,00:26:45.706,00:26:58.547,38536944,38845128,metal-ceramic-collision
P01_01_245,P01,P01_01,00:27:01.170,00:27:04.919,38908080,38998056,metal-only-collision
P01_02_0,P01,P01_02,00:00:10.757,00:00:16.862,258168,404687,metal-only-collision
P01_02_2,P01,P01_02,00:00:19.549,00:00:20.008,469176,480192,ceramic-only-collision
P01_02_3,P01,P01_02,00:00:21.513,00:00:22.590,516312,542160,ceramic-wood-collision
P01_02_6,P01,P01_02,00:00:41.077,00:00:42.237,985848,1013688,metal-only-collision
P01_02_8,P01,P01_02,00:00:49.335,00:00:50.739,1184040,1217736,metal-only-collision
P01_02_10,P01,P01_02,00:01:03.875,00:01:04.775,1533000,1554600,metal-ceramic-collision
P01_02_13,P01,P01_02,00:01:20.793,00:01:23.852,1939032,2012448,metal-ceramic-collision
P01_02_17,P01,P01_02,00:01:49.112,00:01:52.217,2618688,2693208,metal-only-collision
P01_02_18,P01,P01_02,00:01:53.029,00:01:54.133,2712696,2739192,metal-only-collision
P01_02_20,P01,P01_02,00:01:55.654,00:02:01.681,2775696,2920344,metal-only-collision
P01_02_23,P01,P01_02,00:02:02.724,00:02:03.964,2945376,2975136,metal-only-collision
P01_02_24,P01,P01_02,00:02:05.599,00:02:10.279,3014376,3126696,metal-only-collision
P01_02_26,P01,P01_02,00:02:12.938,00:02:13.338,3190511,3200112,metal-only-collision
P01_02_27,P01,P01_02,00:02:14.565,00:02:14.984,3229560,3239616,metal-only-collision
